session_id,user_id,duration,tree,hour,day_of_week,task,task_word_count,task_char_count,completed_review,task_cluster,tree_encoded
6a2d33f14caf023483c1ea0c,1463187459,1,cyclamen,10,5,Test bot,2,8,1,0,35
6a2d38204caf023483c1ea0d,1463187459,1,cyclamen,10,5,Test bot,2,8,0,0,35
6a2d3f358d1435e19eccbe6c,1463187459,1,royal poinciana,11,5,Test bot,2,8,1,0,89
6a2d4bf7257a9ec3bc040963,7441793409,90,شجرة بلوط بنفسجى,12,5,Read lec1 and lec2,4,18,0,1,170
6a2d4dcf257a9ec3bc040967,5791584631,180,wishing tree,12,5,قراءه,1,5,1,0,111
6a2d4dcf257a9ec3bc040967,5680447325,180,wishing tree,12,5,Geology mcq,2,11,1,0,111
6a2d54c4257a9ec3bc040976,1373826140,90,bellflower,13,5,"End Ch.3 
Start Ch.4",4,20,1,0,9
6a2d5c52257a9ec3bc04097a,868173010,30,camelia,13,5,Terapia antigotta,2,17,1,0,17
6a2d62d9257a9ec3bc040984,1188419744,60,azalea,14,5,Lec 2,2,5,0,0,6
6a2d6423257a9ec3bc040989,1463187459,90,mock orange,14,5,Lunch and deploy and test game.py,6,33,0,0,69
6a2d6423257a9ec3bc040989,5031468875,90,mock orange,14,5,Ohhh,1,4,0,0,69
6a2d6506257a9ec3bc04098a,1099283481,60,unknown,14,5,Send from this sticker collection,5,33,0,0,104
6a2d6571257a9ec3bc04098c,5961302475,60,جاكاراندا,14,5,محاضرتين سمك واحدة دكتورة اميرة وواحد دكتورة نادية,8,50,1,0,130
6a2d6678257a9ec3bc04098e,1156443508,60,epiphyllum,14,5,Dermatology,1,11,0,0,41
6a2d6844257a9ec3bc040994,6153942769,80,الأليوم,14,5,biol111 as many lectures as possible,6,36,0,0,118
6a2d6c7d257a9ec3bc04099d,7441793409,90,ويستريا,14,5,تسميع,1,5,1,0,196
6a2d7308257a9ec3bc0409a9,1188419744,60,dancing lady orchid,15,5,Lec 3,2,5,0,0,37
6a2d7616257a9ec3bc0409af,5961302475,60,زهرة الأمنيات,15,5,محاضرة دكتورة اميرة وسكشن البوند,5,32,0,0,144
6a2d796d257a9ec3bc0409b6,1382116841,50,lantern flower,15,5,Sleep ritual,2,12,1,0,59
6a2d798e257a9ec3bc0409b8,1012501441,90,lavender,15,5,Chapter5,1,8,0,0,60
6a2d7a4c257a9ec3bc0409ba,5791584631,90,cherry blossom,15,5,"اعمل الغداء 
ابداء تلخيص رياضيات 
أدخل الحصه",7,44,1,0,23
6a2d7a4c257a9ec3bc0409ba,5299089596,90,cherry blossom,15,5,Chapter 5,2,9,0,0,23
6a2d81a4257a9ec3bc0409c5,1459495017,180,unknown,16,5,"رياضيات الفصل الاول
رياضيات الفصل الثاني 
رياضيات الفصل الثالث 
رياضيات الفصل الرابع",12,84,0,0,104
6a2d8701257a9ec3bc0409da,5680447325,90,wishing tree,16,5,Arabic lecture,2,14,0,0,111
6a2d9d78598fcef5aa5a1c13,6997684218,90,unknown,18,5,Common name,2,11,1,0,104
6a2d9fab598fcef5aa5a1c1b,6800170397,120,ayçiçeği,18,5,Ikd,1,3,0,0,5
